                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9329,                 2.6432,                 1.4825,                0.01149,                0.69149,                  0.324,                0.15512,                 1.3029,                 4.2226,                  1.048,               0.070612,              0.0032653,              0.0032653
                      1,                 1.9052,                 1.7428,                 1.4205,                0.78777,                0.39816,                 0.5187,                0.23303,                 1.4253,                 2.4502,                 1.1271,               0.040482,               0.006468,               0.006468
                      2,                 1.9457,                 1.7594,                 1.4708,                0.32624,                0.21099,                0.16328,                0.05396,                 2.0922,                 2.7902,                 1.8713,               0.010219,              0.0095387,              0.0095387
                      3,                 2.0034,                 1.8198,                  1.525,                0.43083,                0.30541,                 0.2808,                0.09869,                 1.8677,                 3.0564,                 1.7358,               0.009406,               0.009406,               0.009406
                      4,                 1.9884,                 1.7418,                  1.512,                0.52453,                0.41223,                0.39655,                 0.1541,                 1.6272,                 4.6174,                 1.3396,               0.009406,               0.009406,               0.009406
                      5,                 1.9619,                 1.6667,                 1.4808,                0.47871,                0.26152,                  0.273,                 0.1065,                  1.755,                 3.8582,                 1.4012,               0.009208,               0.009208,               0.009208
                      6,                 1.9251,                 1.6118,                  1.474,                0.56188,                0.41312,                  0.434,                0.17527,                 1.6158,                 2.0486,                 1.3181,                0.00901,                0.00901,                0.00901
