,ModelName,Precision,Recall,F1,TN,TP,FP,FN
98,YOLOv8l_GFPGAN_Deoldify_Standard,0.796,0.431,0.559,1457,6546,1680,8650
99,YOLOv8m,0.903,0.495,0.639,1607,7730,831,7896
100,YOLOv8m_Deoldify_Artistic,0.79,0.407,0.538,1419,6210,1646,9040
101,YOLOv8m_Deoldify_Standard,0.793,0.41,0.54,1413,6198,1619,8928
102,YOLOv8m_GFPGAN_Deoldify_Artistic,0.79,0.407,0.538,1419,6210,1646,9040
103,YOLOv8m_GFPGAN_Deoldify_Standard,0.793,0.41,0.54,1413,6198,1619,8928
104,YOLOv8n,0.905,0.398,0.553,1634,5582,586,8432
105,YOLOv8n_Deoldify_Artistic,0.842,0.351,0.496,1484,4772,894,8821
106,YOLOv8n_Deoldify_Standard,0.833,0.352,0.495,1472,4721,949,8678
107,YOLOv8n_GFPGAN_Deoldify_Artistic,0.842,0.351,0.496,1484,4772,894,8821
108,YOLOv8n_GFPGAN_Deoldify_Standard,0.833,0.352,0.495,1472,4721,949,8678
109,YOLOv8s,0.899,0.454,0.603,1623,6835,768,8217
110,YOLOv8s_Deoldify_Artistic,0.805,0.394,0.529,1434,5798,1402,8927
111,YOLOv8s_Deoldify_Standard,0.801,0.387,0.522,1418,5771,1430,9143
112,YOLOv8s_GFPGAN_Deoldify_Artistic,0.805,0.394,0.529,1434,5798,1402,8927
113,YOLOv8s_GFPGAN_Deoldify_Standard,0.801,0.387,0.522,1418,5771,1430,9143
114,YOLOv8x,0.908,0.523,0.664,1611,8219,830,7493
115,YOLOv8X6,0.757,0.506,0.606,1402,7963,2561,7774
116,yolov8x6_custom,0.833,0.778,0.805,1606,12761,2557,3638
117,YOLOv8x6_Deoldify_Artistic,0.768,0.49,0.599,1388,7491,2262,7782
118,YOLOv8x6_Deoldify_Standard,0.771,0.479,0.591,1399,7487,2223,8151
119,YOLOv8x6_GFPGAN_Deoldify_Artistic,0.768,0.49,0.599,1388,7491,2262,7782
120,YOLOv8x6_GFPGAN_Deoldify_Standard,0.771,0.479,0.591,1399,7487,2223,8151
121,YOLOv8x_Deoldify_Artistic,0.772,0.435,0.557,1435,6591,1944,8546
122,YOLOv8x_Deoldify_Standard,0.777,0.429,0.553,1432,6621,1904,8803
123,YOLOv8x_GFPGAN_Deoldify_Artistic,0.772,0.435,0.557,1435,6591,1944,8546
124,YOLOv8x_GFPGAN_Deoldify_Standard,0.777,0.429,0.553,1432,6621,1904,8803
