                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.838,                 1.4045,                 1.4548,                0.67463,                0.47056,                0.53728,                0.23078,                  1.599,                 1.2719,                 1.2958,                0.03466,                0.03466,                0.03466
                     35,                 1.8251,                 1.3679,                 1.4515,                0.70565,                 0.5195,                0.58712,                0.25808,                 1.5165,                 1.1422,                 1.2475,                0.03268,                0.03268,                0.03268
                     36,                 1.8249,                 1.3625,                 1.4434,                0.71153,                0.50488,                0.57334,                0.25281,                 1.5181,                 1.3389,                 1.2497,                 0.0307,                 0.0307,                 0.0307
                     37,                  1.828,                  1.372,                 1.4494,                0.71794,                0.51684,                0.59824,                0.26588,                 1.4803,                 1.1659,                 1.2377,                0.02872,                0.02872,                0.02872
                     38,                 1.7993,                 1.3322,                 1.4414,                0.71802,                0.51862,                0.59994,                0.26448,                 1.5216,                 1.1013,                 1.2603,                0.02674,                0.02674,                0.02674
                     39,                 1.7759,                 1.3006,                  1.423,                0.74441,                0.52438,                0.60788,                0.27603,                 1.4889,                 1.1098,                 1.2399,                0.02476,                0.02476,                0.02476
                     40,                 1.7935,                 1.2542,                 1.4109,                 0.6973,                0.49601,                0.57051,                0.24942,                 1.5223,                 1.2958,                 1.2678,                0.02278,                0.02278,                0.02278
                     41,                 1.7821,                 1.2453,                 1.4088,                0.73181,                0.54122,                0.62573,                  0.283,                 1.4651,                  1.113,                 1.2136,                 0.0208,                 0.0208,                 0.0208
                     42,                 1.7593,                 1.2205,                 1.3989,                0.71501,                0.53635,                0.60951,                0.27549,                 1.4656,                 1.1018,                 1.2143,                0.01882,                0.01882,                0.01882
                     43,                 1.7481,                 1.2116,                  1.387,                0.71984,                0.55984,                0.63162,                0.28943,                 1.4536,                 1.1187,                 1.2138,                0.01684,                0.01684,                0.01684
                     44,                 1.7392,                 1.1741,                 1.3887,                0.74627,                0.54787,                0.63173,                0.29011,                 1.4729,                 1.0557,                 1.2232,                0.01486,                0.01486,                0.01486
                     45,                 1.7308,                 1.1676,                 1.3787,                 0.6895,                0.56339,                0.62015,                0.28511,                 1.4564,                 1.0763,                 1.2036,                0.01288,                0.01288,                0.01288
                     46,                 1.7093,                 1.1461,                 1.3608,                0.71451,                0.56693,                0.63195,                0.28781,                 1.4508,                 1.0425,                 1.2046,                 0.0109,                 0.0109,                 0.0109
                     47,                 1.7053,                 1.1317,                 1.3618,                0.73415,                0.56073,                0.63558,                0.29208,                 1.4309,                 1.0979,                 1.2099,                0.00892,                0.00892,                0.00892
                     48,                  1.697,                 1.1284,                 1.3573,                0.74324,                0.56959,                0.65035,                0.29973,                 1.4353,                 1.0451,                  1.199,                0.00694,                0.00694,                0.00694
                     49,                  1.679,                 1.1051,                  1.346,                0.73763,                0.58555,                0.65525,                0.29706,                  1.436,                0.94942,                 1.2033,                0.00496,                0.00496,                0.00496
