                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.945,                 3.8766,                  2.621,                0.00025,                0.00576,                0.00013,                  3e-05,                 3.4461,                 3.8293,                 6.4309,                0.06738,             3.2653e-05,             3.2653e-05
                      1,                 2.6973,                 2.9167,                 2.2019,                0.00127,                0.00089,                0.00068,                0.00038,                 3.2309,                 5.0689,                 3.4294,               0.034078,              6.468e-05,              6.468e-05
                      2,                 2.5891,                 2.7027,                 2.1387,                 0.0232,                0.02793,                0.00852,                 0.0038,                 2.9818,                 7.8524,                 2.9616,             0.00077566,             9.5387e-05,             9.5387e-05
                      3,                 2.4836,                 2.4859,                 2.0616,                0.15422,                0.18218,                0.07759,                0.01925,                 2.5118,                    inf,                 2.8395,              9.406e-05,              9.406e-05,              9.406e-05
                      4,                 2.4373,                 2.3751,                 1.9681,                0.01496,                0.06161,                0.00717,                0.00186,                 2.6781,                 73.883,                 3.4041,              9.406e-05,              9.406e-05,              9.406e-05
                      5,                 2.3932,                 2.2952,                 1.9258,                0.05161,                 0.0984,                0.03256,                0.00994,                 2.2775,                 9.7578,                 2.1412,              9.208e-05,              9.208e-05,              9.208e-05
                      6,                 2.3419,                 2.2039,                 1.9111,                0.04877,                0.02527,                0.01465,                0.00363,                 2.9586,                  8.307,                 2.9095,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 2.3014,                 2.1663,                 1.8735,                 0.1219,                0.11702,                  0.057,                0.01745,                 2.2109,                  15.23,                  2.102,              8.812e-05,              8.812e-05,              8.812e-05
                      8,                 2.2737,                 2.1383,                 1.8484,                0.18658,                0.14184,                0.07169,                0.01539,                 2.8649,                 2.7775,                 2.4701,              8.614e-05,              8.614e-05,              8.614e-05
