                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5696,                 1.0173,                 1.2432,                0.79116,                0.64314,                0.72956,                0.34775,                 1.3818,                0.88722,                 1.1087,              0.0003466,              0.0003466,              0.0003466
                     35,                 1.5696,                0.99078,                 1.2535,                0.78567,                0.64761,                0.73409,                0.35598,                 1.3543,                0.80053,                 1.0915,              0.0003268,              0.0003268,              0.0003268
                     36,                  1.569,                0.98696,                 1.2461,                 0.7985,                0.63235,                0.73122,                0.35345,                 1.3701,                 1.0345,                  1.112,               0.000307,               0.000307,               0.000307
                     37,                 1.5721,                 1.0012,                  1.254,                0.81166,                0.64317,                 0.7364,                0.35801,                 1.3493,                0.84907,                 1.0851,              0.0002872,              0.0002872,              0.0002872
                     38,                 1.5479,                0.97307,                 1.2411,                0.81117,                0.62899,                0.73041,                0.36158,                 1.3536,                0.80073,                 1.0929,              0.0002674,              0.0002674,              0.0002674
                     39,                 1.5251,                0.95188,                 1.2307,                0.81318,                0.65022,                0.74397,                0.36381,                 1.3341,                0.78766,                 1.0788,              0.0002476,              0.0002476,              0.0002476
                     40,                 1.5353,                0.90345,                 1.2021,                0.79836,                0.65027,                0.73742,                0.36112,                 1.3314,                 1.0234,                 1.0892,              0.0002278,              0.0002278,              0.0002278
                     41,                 1.5182,                0.88343,                 1.1997,                0.80706,                0.65869,                0.73316,                0.35815,                 1.3419,                0.89651,                  1.089,               0.000208,               0.000208,               0.000208
                     42,                 1.4966,                0.87167,                 1.1886,                0.78801,                0.66071,                0.73261,                0.35773,                 1.3475,                0.95004,                 1.0984,              0.0001882,              0.0001882,              0.0001882
                     43,                 1.4847,                0.85815,                 1.1811,                0.80539,                0.64716,                0.74311,                0.36703,                 1.3365,                0.79527,                 1.0825,              0.0001684,              0.0001684,              0.0001684
                     44,                 1.4773,                0.84422,                  1.179,                0.79548,                0.66719,                0.74453,                0.36906,                 1.3371,                0.75981,                 1.0787,              0.0001486,              0.0001486,              0.0001486
                     45,                 1.4762,                 0.8379,                 1.1753,                 0.8059,                0.66135,                0.74329,                0.36563,                 1.3411,                0.77088,                  1.084,              0.0001288,              0.0001288,              0.0001288
                     46,                 1.4611,                0.82707,                 1.1646,                0.80783,                0.66002,                0.74592,                0.37002,                 1.3374,                0.77144,                 1.0875,               0.000109,               0.000109,               0.000109
                     47,                 1.4577,                0.81883,                  1.164,                0.81024,                0.66053,                0.75024,                0.37357,                 1.3344,                0.72644,                 1.0796,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                 1.4437,                0.80664,                 1.1565,                0.81132,                0.65824,                0.74829,                0.37576,                 1.3219,                0.74836,                  1.077,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                 1.4368,                0.80635,                 1.1554,                0.80537,                 0.6578,                0.74879,                0.37281,                 1.3279,                0.75043,                 1.0744,               4.96e-05,               4.96e-05,               4.96e-05
